,Artist Reputation,Height,Width,Weight,Material,Price Of Sculpture,Base Shipping Price,International,Express Shipment,Installation Included,Transport,Fragile,Customer Information,Remote Location,Cost,scheduled_year,scheduled_month,scheduled_day,scheduled_dateofmonth,delivery_year,delivery_month,delivery_day,delivery_dateofmonth,delta,state
1105,0.33,17.0,8.0,3473.0,Bronze,6.1,10.55,No,No,No,Roadways,No,Working Class,No,170.9,2016,6,1,7,2016,6,1,7,0 ,NV
1106,0.45,27.0,8.0,15609.0,Brass,70.4,60.59,Yes,No,Yes,Waterways,No,Working Class,No,1577.34,2016,2,4,12,2016,2,2,10,-2 ,TN
1107,0.77,33.0,19.0,4180066.0,Stone,22331.5,73.49,No,Yes,No,Roadways,No,Wealthy,Yes,179964.04,2019,8,5,3,2019,8,5,3,0 ,NH
1108,0.75,27.0,6.0,2155.0,Clay,3.36,24.48,No,Yes,Yes,Roadways,Yes,Wealthy,No,852.59,2015,10,5,17,2015,10,2,14,-3 ,MT
1109,0.53,33.0,17.0,664.0,Aluminium,9.89,19.44,No,No,Yes,Roadways,No,Working Class,No,590.73,2016,7,1,5,2016,7,4,8,3 ,
1110,0.45,47.0,22.0,10712360.0,Material_NA,22338.36,59.69,No,No,No,Roadways,Yes,Working Class,No,86968.81,2016,6,6,26,2016,6,2,22,-4 ,HI
1111,0.28,45.0,8.0,1374.0,Clay,5.19,54.61,No,No,No,Waterways,Yes,Working Class,No,503.59,2015,7,3,16,2015,7,6,12,-4 ,AK
1112,0.45,13.0,6.0,366.0,Aluminium,6.78,22.73,Yes,No,No,Waterways,No,Working Class,No,482.32,2016,1,4,15,2016,1,0,18,3 ,OH
1113,0.84,26.0,9.0,3059.0,Clay,15.68,12.59,Yes,No,No,Airways,Yes,Working Class,No,469.05,2017,3,2,15,2017,3,4,17,2 ,WY
1114,0.92,36.0,12.0,4260.0,Clay,12.76,13.29,No,Yes,Yes,Roadways,Yes,Wealthy,No,1356.49,2018,1,1,2,2018,1,1,2,0 ,SD
1115,0.25,46.0,25.0,197267.0,Bronze,666.57,39.09,No,No,Yes,Roadways,No,Working Class,No,3384.91,2016,9,2,28,2016,9,5,24,-4 ,SC
1116,0.23,23.0,13.0,36456.0,Brass,20.03,26.8,No,No,Yes,Roadways,No,Working Class,No,514.59,2015,3,3,5,2015,3,6,1,-4 ,SC
1117,0.93,35.0,14.0,35902.0,Bronze,46.2,63.91,No,Yes,Yes,Airways,No,Working Class,No,4791.38,2017,10,5,14,2017,10,5,14,0 ,MN
1118,0.43,34.0,17.0,5804.0,Clay,34.33,57.66,Yes,Yes,Yes,Airways,Yes,Working Class,No,941.24,2016,6,0,13,2016,6,4,17,4 ,DE
1119,0.44,21.0,6.0,3232.0,Material_NA,3.62,17.13,No,No,No,Roadways,No,Working Class,No,179.5,2017,10,4,20,2017,10,4,20,0 ,
1120,0.97,35.0,22.0,1999905.0,Marble,5748.93,35.08,No,No,No,Airways,No,Working Class,No,126244.65,2016,8,6,7,2016,8,1,9,2 ,
1121,0.28,16.0,7.0,103431.0,Stone,250.08,74.77,Yes,No,No,Waterways,No,Working Class,No,946.36,2015,3,0,23,2015,3,6,22,-1 ,AL
1122,0.58,4.0,8.0,19.0,Wood,6.48,20.05,Yes,No,Yes,Roadways,No,Working Class,No,228.53,2016,5,1,17,2016,5,2,18,1 ,WV
1123,0.54,23.0,11.0,27168.0,Brass,80.12,96.98,Yes,No,Yes,Roadways,No,Working Class,No,3404.67,2017,2,6,26,2017,2,0,27,1 ,WV
1124,0.48,6.0,4.0,1004.0,Material_NA,6.61,15.45,No,No,Yes,Roadways,No,Working Class,No,270.21,2015,6,0,22,2015,6,1,23,1 ,OK
1125,0.27,6.0,5.0,80.0,Aluminium,5.43,13.3,No,No,No,Roadways,No,Wealthy,No,128.27,2017,7,6,30,2017,8,2,2,3 ,WY
1126,0.54,18.0,7.0,123.0,Wood,6.9,21.74,Yes,Yes,Yes,Airways,No,Working Class,No,345.57,2017,10,0,23,2017,10,2,25,2 ,MD
1127,0.45,28.0,10.0,1218.0,Aluminium,6.16,22.43,No,No,Yes,Waterways,No,Working Class,No,302.74,2018,5,5,12,2018,5,1,15,3 ,IN
1128,0.01,20.0,6.0,43881.0,Stone,60.03,78.81,Yes,No,No,Roadways,No,Wealthy,Yes,589.61,2017,11,1,7,2017,11,5,4,-3 ,NE
1129,0.6,18.0,8.0,1247.0,Clay,6.59,21.35,No,No,No,Roadways,Yes,Wealthy,No,417.43,2019,7,1,2,2019,7,1,2,0 ,NE
1130,0.57,13.0,8.0,987.0,Clay,5.41,17.31,No,No,No,Roadways,Yes,Working Class,No,275.27,2017,1,3,5,2017,1,2,4,-1 ,IN
1131,0.97,25.0,6.0,549.0,Aluminium,6.32,22.16,No,Yes,No,Roadways,No,Working Class,No,1067.49,2018,5,3,10,2018,5,3,10,0 ,WY
1132,0.6,14.0,8.0,291.0,Aluminium,4.21,21.94,Yes,No,Yes,Roadways,No,Working Class,Yes,314.36,2018,4,2,4,2018,4,6,8,4 ,
1133,0.8,23.0,9.0,2061.0,Clay,9.16,13.42,No,No,Yes,Waterways,Yes,Working Class,No,1898.4,2018,3,0,12,2018,3,3,8,-4 ,OH
1134,0.2,11.0,6.0,237.0,Aluminium,3.7,18.36,No,Yes,Yes,Airways,No,Working Class,No,159.74,2016,2,4,5,2016,2,3,4,-1 ,IA
1135,0.45,30.0,19.0,6752022.0,Stone,9714.66,67.77,Yes,No,No,Airways,No,Working Class,No,34201.54,2016,12,1,27,2016,12,5,24,-3 ,NH
1136,0.92,42.0,10.0,4217.0,Clay,4.23,16.55,Yes,Yes,Yes,Airways,Yes,Wealthy,No,2104.6,2019,2,1,19,2019,2,4,15,-4 ,PA
1137,0.38,20.0,16.0,19222.0,Brass,28.78,85.02,No,No,No,Roadways,No,Working Class,No,744.82,2018,10,2,10,2018,10,5,13,3 ,KS
1138,0.91,20.0,8.0,3232.0,Material_NA,4.19,24.1,No,Yes,No,Roadways,No,Working Class,Yes,290.3,2017,12,3,21,2017,12,1,19,-2 ,AK
1139,0.38,7.0,4.0,170.0,Brass,5.26,11.27,No,No,No,Waterways,No,Working Class,No,146.19,2016,6,6,26,2016,6,1,28,2 ,MO
1140,0.59,16.0,7.0,56827.0,Marble,99.02,57.95,No,Yes,Yes,Roadways,No,Working Class,No,5045.14,2017,8,4,11,2017,8,0,7,-4 ,MA
1141,0.59,47.0,21.0,14083967.0,Stone,84326.76,52.17,No,No,No,Airways,No,Working Class,Yes,2117963.73,2017,3,4,3,2017,2,1,28,-3 ,TN
1142,0.44,19.0,7.0,236.0,Wood,6.9,22.65,No,No,No,Roadways,No,Wealthy,No,270.81,2015,5,1,12,2015,5,1,12,0 ,OH
1143,0.45,22.0,6.0,7407.0,Material_NA,21.97,74.31,No,No,Yes,Roadways,No,Working Class,No,650.27,2016,1,4,8,2016,1,5,9,1 ,MN
1144,0.82,44.0,20.0,5965789.0,Marble,5909.09,60.28,No,Yes,No,Airways,Yes,Wealthy,No,282201.63,2019,5,2,8,2019,5,4,10,2 ,LA
1145,0.09,5.0,8.0,81.0,Brass,3.13,10.68,Yes,No,No,Waterways,No,Working Class,No,123.09,2019,7,4,5,2019,7,5,6,1 ,WI
1146,0.6,14.0,6.0,48185.0,Stone,199.54,35.42,Yes,No,Yes,Waterways,No,Wealthy,No,808.59,2017,12,6,3,2017,12,1,5,2 ,NM
1147,0.26,35.0,17.0,5080983.0,Stone,10562.53,25.96,Yes,Yes,No,Airways,No,Working Class,No,124369.3,2019,4,2,17,2019,4,0,15,-2 ,NH
1148,0.88,32.0,11.0,532.0,Wood,5.44,19.99,Yes,No,No,Waterways,No,Working Class,No,730.45,2016,2,0,29,2016,3,3,3,3 ,MI
1149,0.79,4.0,3.0,113.0,Brass,6.9,16.24,No,No,No,Roadways,No,Working Class,No,355.48,2018,6,2,6,2018,6,5,2,-4 ,GA
1150,0.11,50.0,13.0,55850.0,Bronze,80.19,30.52,No,No,No,Roadways,No,Working Class,No,464.66,2017,9,4,22,2017,9,4,22,0 ,HI
1151,0.66,24.0,11.0,11676.0,Bronze,21.78,65.24,Yes,Yes,No,Roadways,No,Wealthy,No,1527.35,2018,5,5,26,2018,5,4,25,-1 ,MA
1152,0.28,47.0,20.0,3232.0,Material_NA,17.4,16.56,Yes,Yes,Yes,Roadways,No,Working Class,Yes,326.55,2015,4,4,24,2015,4,1,28,4 ,TX
1153,0.45,55.0,22.0,175420.0,Bronze,514.49,62.32,No,No,No,Waterways,No,Working Class,Yes,4141.95,2016,6,3,9,2016,6,0,6,-3 ,MA
1154,0.25,20.0,17.0,21029.0,Bronze,22.71,30.61,No,Yes,Yes,Airways,No,Wealthy,No,542.44,2017,5,5,20,2017,5,6,21,1 ,DE
1155,0.31,37.0,13.0,1556047.0,Marble,3824.25,62.68,Yes,Yes,No,Airways,Yes,Working Class,No,17324.31,2017,7,5,29,2017,7,5,29,0 ,CA
1156,0.96,15.0,7.0,83378.0,Stone,604.07,73.61,Yes,Yes,No,Airways,No,Working Class,No,36066.24,2018,3,3,15,2018,3,4,16,1 ,GA
1157,0.47,16.0,7.0,5035.0,Brass,12.92,25.25,No,No,Yes,Roadways,No,Working Class,No,346.49,2018,3,2,28,2018,3,2,28,0 ,WV
1158,0.3,27.0,12.0,1029.0,Aluminium,4.92,14.94,No,Yes,Yes,Airways,No,Wealthy,No,238.6,2018,8,5,25,2018,8,4,24,-1 ,
1159,0.54,39.0,16.0,104029.0,Brass,673.52,42.3,No,No,Yes,Roadways,No,Working Class,No,7137.4,2016,5,1,24,2016,5,3,26,2 ,ND
1160,0.75,3.0,2.0,95.0,Stone,6.65,24.4,No,No,No,Airways,No,Working Class,No,366.68,2019,3,4,29,2019,3,4,29,0 ,WI
1161,0.69,10.0,4.0,35.0,Wood,6.64,14.01,No,Yes,Yes,Roadways,No,Wealthy,Yes,371.17,2019,7,0,8,2019,7,4,5,-3 ,UT
1162,0.45,18.0,8.0,3973.0,Bronze,4.59,18.5,No,No,Yes,Roadways,No,Working Class,No,350.01,2016,1,3,7,2016,1,0,4,-3 ,KS
1163,0.71,22.0,8.0,831.0,Aluminium,3.12,20.38,No,Yes,Yes,Airways,No,Wealthy,No,531.89,2016,2,3,11,2016,2,0,8,-3 ,NC
1164,0.11,5.0,4.0,27.0,Wood,3.88,23.38,Yes,Yes,No,Airways,No,Working Class,No,150.88,2016,2,3,4,2016,2,2,3,-1 ,
1165,0.98,29.0,10.0,1353.0,Aluminium,6.36,22.58,No,No,Yes,Roadways,No,Working Class,No,1445.06,2015,8,4,28,2015,8,3,27,-1 ,NM
1166,0.28,10.0,5.0,7220.0,Material_NA,14.34,82.81,No,Yes,Yes,Airways,No,Working Class,No,527.0,2015,9,4,25,2015,9,6,27,2 ,ME
1167,0.06,17.0,8.0,972.0,Clay,5.34,12.31,No,No,Yes,Roadways,Yes,Working Class,Yes,131.18,2018,5,6,6,2018,5,3,10,4 ,ID
1168,0.45,29.0,9.0,3232.0,Material_NA,60.92,94.15,No,No,Yes,Roadways,No,Working Class,No,1232.44,2017,12,3,28,2017,12,4,29,1 ,MO
1169,0.53,21.0,13.0,432.0,Wood,4.16,11.85,No,No,Yes,Airways,No,Working Class,Yes,219.27,2019,6,1,4,2019,6,4,7,3 ,
1170,0.95,16.0,7.0,409.0,Clay,3.59,16.41,Yes,No,No,Waterways,Yes,Working Class,No,429.87,2016,4,5,30,2016,5,2,4,4 ,LA
1171,0.06,33.0,20.0,79196.0,Brass,37.46,30.87,Yes,Yes,Yes,Airways,No,Wealthy,No,1093.76,2018,3,1,13,2018,3,1,13,0 ,SD
1172,0.76,37.0,13.0,1298703.0,Marble,4742.35,72.27,Yes,No,No,Roadways,Yes,Working Class,No,53207.98,2015,6,4,26,2015,6,0,22,-4 ,MT
1173,0.33,30.0,13.0,44019.0,Brass,42.28,92.57,Yes,No,No,Waterways,No,Working Class,No,874.27,2018,12,6,23,2018,12,0,24,1 ,CT
1174,0.17,22.0,6.0,242.0,Wood,6.77,13.85,No,No,No,Roadways,No,Working Class,No,116.72,2016,5,2,18,2016,5,3,19,1 ,CA
1175,0.47,26.0,7.0,400.0,Wood,6.47,14.2,No,No,No,Waterways,No,Working Class,No,211.25,2017,9,0,18,2017,9,6,17,-1 ,MS
1176,0.6,21.0,6.0,98362.0,Stone,196.57,34.45,Yes,Yes,Yes,Roadways,No,Working Class,No,2028.79,2018,3,4,9,2018,3,0,5,-4 ,AK
1177,0.75,7.0,4.0,1985.0,Marble,12.59,14.01,No,No,No,Roadways,No,Working Class,No,268.94,2017,8,6,6,2017,8,3,3,-3 ,
1178,0.47,17.0,9.0,740.0,Aluminium,5.38,18.98,Yes,No,No,Waterways,No,Working Class,No,238.88,2016,3,3,17,2016,3,3,17,0 ,SC
1179,0.05,35.0,12.0,1090924.0,Marble,1507.04,32.6,Yes,No,No,Waterways,No,Working Class,No,1386.19,2017,1,5,7,2017,1,2,11,4 ,NC
1180,0.82,10.0,5.0,9568.0,Marble,8.02,47.52,No,Yes,Yes,Airways,No,Working Class,No,1381.77,2016,3,2,9,2016,3,5,12,3 ,
1181,0.2,23.0,12.0,387.0,Wood,5.94,23.83,No,No,No,Airways,No,Working Class,No,180.53,2015,8,2,26,2015,8,2,26,0 ,FL
1182,0.23,11.0,7.0,1305.0,Bronze,4.39,20.6,No,Yes,No,Roadways,No,Wealthy,Yes,210.2,2018,2,6,4,2018,2,0,5,1 ,MI
1183,0.01,20.0,6.0,3925.0,Bronze,4.62,17.13,No,Yes,Yes,Airways,No,Working Class,No,181.71,2017,10,3,26,2017,10,2,25,-1 ,AZ
1184,0.07,28.0,6.0,1810.0,Clay,3.42,16.18,No,Yes,Yes,Airways,Yes,Wealthy,No,211.42,2015,10,4,23,2015,10,2,21,-2 ,DE
1185,0.14,9.0,4.0,2921.0,Marble,9.33,11.97,No,No,No,Airways,No,Working Class,No,165.65,2016,7,6,10,2016,7,3,14,4 ,VA
1186,0.16,20.0,7.0,6634.0,Bronze,22.94,86.44,No,Yes,No,Roadways,No,Wealthy,No,487.05,2019,2,4,1,2019,2,1,5,4 ,VA
1187,0.45,21.0,8.0,3268.0,Material_NA,8.43,15.38,No,Yes,No,Roadways,No,Working Class,No,1504.05,2019,8,0,5,2019,8,3,1,-4 ,MO
1188,0.45,26.0,8.0,326.0,Wood,3.85,20.85,No,Yes,No,Airways,No,Working Class,No,329.4,2016,11,6,27,2016,11,0,28,1 ,MD
1189,0.03,29.0,8.0,304174.0,Marble,501.96,38.37,Yes,Yes,Yes,Airways,No,Wealthy,No,2089.76,2016,2,0,29,2016,2,0,29,0 ,LA
1190,0.87,3.0,2.0,118.0,Stone,6.45,10.35,No,No,No,Waterways,No,Wealthy,No,408.9,2015,2,0,9,2015,2,0,9,0 ,CT
1191,0.6,12.0,6.0,578.0,Clay,3.76,20.93,No,No,Yes,Roadways,Yes,Working Class,No,277.12,2019,5,0,6,2019,5,2,8,2 ,RI
1192,0.31,14.0,8.0,232.0,Wood,4.89,15.19,Yes,No,Yes,Waterways,No,Working Class,No,178.91,2017,4,5,15,2017,4,1,11,-4 ,AL
1193,0.21,13.0,8.0,2493.0,Bronze,4.41,19.16,No,Yes,No,Roadways,No,Working Class,No,186.67,2016,3,6,20,2016,3,6,20,0 ,KS
1194,0.04,11.0,8.0,115395.0,Marble,6.24,46.95,Yes,No,No,Roadways,No,Working Class,No,294.66,2015,6,0,22,2015,6,0,22,0 ,FL
1195,0.96,27.0,7.0,221082.0,Stone,1524.16,79.77,No,No,No,Roadways,No,Wealthy,No,7022.45,2018,2,2,21,2018,2,2,21,0 ,DC
1196,0.35,20.0,8.0,384502.0,Brass,1930.14,28.93,Yes,No,Yes,Roadways,No,Working Class,No,2448.44,2016,2,1,9,2016,2,5,13,4 ,
1197,0.08,5.0,8.0,251.0,Wood,5.43,19.42,No,Yes,No,Airways,No,Working Class,No,111.56,2018,11,4,30,2018,12,0,3,3 ,OK
1198,0.21,12.0,6.0,57899.0,Stone,91.71,84.18,No,No,Yes,Airways,No,Working Class,No,1039.87,2018,1,5,20,2018,1,6,21,1 ,VT
1199,0.41,9.0,4.0,141.0,Aluminium,4.45,21.93,No,No,No,Roadways,No,Working Class,Yes,195.17,2016,6,2,1,2016,6,2,1,0 ,IL
1200,0.29,19.0,10.0,514.0,Aluminium,5.96,16.3,Yes,No,No,Roadways,No,Working Class,No,188.11,2017,1,5,28,2017,1,3,26,-2 ,IL
1201,0.8,14.0,8.0,2042.0,Bronze,14.41,13.71,No,Yes,Yes,Roadways,No,Wealthy,No,495.77,2017,2,1,7,2017,2,5,4,-3 ,ID
1202,0.39,10.0,5.0,217.0,Aluminium,4.14,11.21,No,No,Yes,Roadways,No,Working Class,Yes,149.84,2015,10,5,17,2015,10,6,18,1 ,WV
1203,0.35,4.0,4.0,54.0,Clay,3.63,10.06,No,No,No,Roadways,Yes,Working Class,Yes,120.62,2017,6,6,25,2017,6,6,25,0 ,CT
1204,0.69,7.0,5.0,469.0,Bronze,6.65,21.38,No,No,No,Roadways,No,Working Class,No,374.26,2017,12,6,24,2017,12,2,20,-4 ,NE
1205,0.63,20.0,8.0,173.0,Aluminium,4.96,14.37,Yes,No,No,Waterways,No,Working Class,No,210.72,2018,1,3,4,2018,1,2,3,-1 ,
1206,0.65,35.0,16.0,6462.0,Clay,39.7,83.44,No,No,No,Roadways,Yes,Working Class,No,1857.44,2018,8,3,2,2018,8,3,2,0 ,NC
1207,0.81,26.0,6.0,8014.0,Bronze,14.96,67.21,Yes,No,No,Roadways,No,Wealthy,No,1897.49,2019,1,4,11,2019,1,2,9,-2 ,OH
1208,0.24,42.0,8.0,142365.0,Material_NA,87.0,71.78,Yes,No,No,Roadways,No,Working Class,No,1011.44,2016,7,6,17,2016,7,3,14,-3 ,ME
1209,0.87,10.0,4.0,814.0,Material_NA,3.04,10.54,Yes,No,No,Airways,No,Wealthy,No,262.52,2016,9,2,28,2016,10,5,1,3 ,IA
1210,0.45,23.0,12.0,22783.0,Brass,18.42,41.49,No,No,Yes,Roadways,No,Working Class,Yes,775.88,2018,3,4,9,2018,3,0,12,3 ,NJ
1211,0.5,45.0,9.0,3773.0,Clay,13.48,19.36,Yes,No,Yes,Airways,Yes,Working Class,Yes,531.05,2017,7,1,4,2017,7,1,4,0 ,MS
1212,0.52,22.0,13.0,24368.0,Brass,35.8,82.08,No,Yes,No,Roadways,No,Working Class,Yes,1207.95,2017,5,1,2,2017,5,4,5,3 ,NH
1213,0.72,12.0,8.0,148.0,Wood,5.19,16.33,No,No,No,Roadways,No,Wealthy,No,355.84,2016,12,2,21,2016,12,5,17,-4 ,ND
1214,0.75,20.0,13.0,10515.0,Bronze,52.42,99.59,Yes,Yes,Yes,Airways,No,Working Class,No,2992.84,2017,1,3,5,2017,1,4,6,1 ,VA
1215,0.47,20.0,7.0,8979.0,Brass,12.6,90.33,Yes,Yes,No,Airways,No,Wealthy,No,1016.33,2016,2,6,7,2016,2,2,10,3 ,IN
1216,0.45,42.0,15.0,5982.5,Bronze,144.15,86.81,No,Yes,No,Roadways,No,Working Class,No,622.37,2017,5,3,18,2017,5,4,19,1 ,
1217,0.45,10.0,5.0,474.0,Material_NA,5.92,12.22,No,No,No,Roadways,No,Working Class,No,204.84,2015,7,4,3,2015,7,2,1,-2 ,IA
1218,0.82,30.0,8.0,279249.0,Stone,2440.98,40.59,No,Yes,No,Airways,No,Working Class,No,13493.1,2019,8,4,16,2019,8,4,16,0 ,MI
1219,0.8,7.0,4.0,990.0,Marble,3.81,18.21,No,Yes,No,Airways,No,Working Class,No,344.19,2016,4,4,29,2016,4,0,25,-4 ,OK
1220,0.22,22.0,8.0,137531.0,Marble,412.82,80.33,No,No,Yes,Airways,No,Wealthy,No,1875.01,2016,1,4,15,2016,1,3,14,-1 ,NM
1221,0.2,19.0,8.0,5202.0,Bronze,11.91,40.62,Yes,No,No,Roadways,No,Working Class,No,336.57,2019,4,2,17,2019,4,2,17,0 ,IL
1222,0.5,25.0,8.0,1374.0,Clay,3.1,18.77,Yes,No,No,Waterways,Yes,Working Class,Yes,280.05,2016,1,3,7,2016,1,4,8,1 ,IA
1223,0.69,31.0,12.0,637276.0,Marble,1356.72,35.05,Yes,No,Yes,Waterways,No,Working Class,No,3276.78,2015,9,4,4,2015,9,5,5,1 ,
1224,0.48,7.0,5.0,626.0,Brass,6.45,11.43,No,No,Yes,Roadways,No,Working Class,Yes,210.12,2017,10,1,17,2017,10,4,20,3 ,DC
1225,0.1,30.0,15.0,2546721.0,Stone,984.71,33.87,No,No,No,Roadways,No,Working Class,No,4122.46,2018,11,4,23,2018,11,1,27,4 ,WI
1226,0.3,11.0,7.0,415.0,Material_NA,3.01,20.41,Yes,Yes,No,Airways,Yes,Working Class,No,191.6,2017,7,0,24,2017,7,3,27,3 ,CT
1227,0.5,25.0,9.0,250627.0,Marble,739.57,26.58,No,No,No,Roadways,No,Wealthy,Yes,9400.03,2015,7,0,27,2015,7,5,25,-2 ,IN
1228,0.33,35.0,19.0,12898.0,Clay,11.83,61.36,No,No,No,Roadways,Yes,Working Class,No,711.36,2015,11,5,14,2015,11,1,10,-4 ,
1229,0.47,25.0,8.0,5982.5,Bronze,61.9,66.02,Yes,Yes,No,Airways,No,Working Class,No,1325.51,2017,2,6,19,2017,2,2,22,3 ,
1230,0.45,40.0,17.0,55175.0,Bronze,205.38,55.19,Yes,Yes,No,Airways,No,Working Class,No,3223.78,2019,1,3,24,2019,1,3,24,0 ,
1231,0.55,17.0,11.0,638.0,Aluminium,4.96,21.32,No,No,No,Roadways,No,Working Class,No,288.4,2016,4,4,1,2016,3,3,31,-1 ,
1232,0.07,28.0,12.0,664.0,Aluminium,5.45,20.81,No,No,Yes,Waterways,No,Working Class,Yes,179.89,2016,9,4,30,2016,9,2,28,-2 ,IA
1233,0.0,16.0,7.0,1306.0,Clay,4.85,21.51,No,No,No,Waterways,Yes,Working Class,No,149.54,2017,7,3,13,2017,7,0,10,-3 ,MT
1234,0.45,4.0,3.0,1374.0,Clay,4.7,19.36,No,No,Yes,Roadways,Yes,Wealthy,No,159.6,2016,11,5,5,2016,11,2,9,4 ,KS
1235,0.92,3.0,2.0,11.0,Wood,3.29,21.03,No,No,No,Airways,No,Wealthy,No,208.13,2017,5,6,21,2017,5,6,21,0 ,OH
1236,0.84,8.0,8.0,48.0,Wood,4.81,10.34,No,No,No,Roadways,No,Working Class,No,198.58,2019,7,3,25,2019,7,3,25,0 ,TN
1237,0.18,64.0,19.0,1177.0,Wood,6.09,22.09,No,Yes,No,Airways,No,Wealthy,Yes,251.43,2019,1,1,15,2019,1,4,11,-4 ,WA
1238,0.72,23.0,10.0,1374.0,Clay,5.52,12.43,No,No,No,Airways,Yes,Working Class,No,378.46,2019,3,4,22,2019,3,5,23,1 ,WA
1239,0.47,51.0,19.0,7264.0,Aluminium,7.62,32.0,Yes,No,No,Waterways,No,Working Class,No,531.81,2019,4,5,20,2019,4,4,19,-1 ,
1240,0.96,18.0,14.0,1016406.0,Stone,11128.79,50.88,No,No,No,Roadways,No,Wealthy,No,24184.01,2015,7,2,8,2015,7,4,10,2 ,IL
1241,0.52,38.0,11.0,2272.0,Aluminium,7.14,23.94,Yes,No,No,Roadways,No,Working Class,Yes,512.58,2017,8,0,7,2017,8,3,3,-4 ,ID
1242,0.49,20.0,6.0,4035.0,Brass,6.09,14.06,Yes,No,No,Airways,No,Wealthy,No,312.61,2015,12,3,3,2015,12,5,5,2 ,SD
1243,0.45,35.0,6.0,181579.0,Marble,633.22,54.85,No,Yes,No,Airways,No,Working Class,Yes,19033.53,2015,10,6,25,2015,10,3,22,-3 ,ND
1244,0.45,34.0,8.0,11900.0,Clay,25.77,76.7,No,No,Yes,Roadways,Yes,Working Class,No,618.9,2015,3,2,25,2015,3,1,24,-1 ,OR
1245,0.3,52.0,8.0,17368.0,Clay,27.37,83.35,No,No,No,Roadways,Yes,Wealthy,No,912.88,2018,11,0,19,2018,11,2,21,2 ,SD
1246,0.91,14.0,6.0,3496.0,Brass,20.71,21.83,No,No,Yes,Roadways,No,Working Class,No,672.21,2018,1,5,13,2018,1,2,10,-3 ,MD
1247,0.8,20.0,8.0,115500.0,Material_NA,221.17,48.29,No,No,No,Roadways,No,Working Class,No,1793.15,2016,5,1,10,2016,5,1,10,0 ,NM
1248,0.27,31.0,13.0,1266851.0,Marble,2737.74,43.24,No,No,No,Roadways,No,Working Class,No,4706.77,2015,12,4,4,2015,12,5,5,1 ,IN
1249,0.45,17.0,14.0,115395.0,Marble,1290.04,37.18,Yes,No,No,Waterways,No,Working Class,No,2003.16,2018,2,0,5,2018,2,6,4,-1 ,ME
1250,0.36,29.0,12.0,1249.0,Aluminium,6.98,24.01,No,No,No,Roadways,No,Working Class,No,253.44,2018,12,4,7,2018,12,4,7,0 ,NH
1251,0.89,27.0,8.0,2255801.0,Stone,11025.79,88.52,Yes,Yes,No,Airways,No,Wealthy,No,91227.61,2018,6,4,22,2018,6,0,18,-4 ,UT
1252,0.61,18.0,7.0,89138.0,Marble,319.17,55.79,No,No,No,Airways,No,Wealthy,No,2304.56,2016,10,0,17,2016,10,6,16,-1 ,OH
1253,0.48,6.0,4.0,326.0,Brass,4.71,18.62,No,No,Yes,Roadways,No,Working Class,No,228.45,2019,4,0,22,2019,4,4,19,-3 ,SC
1254,0.45,26.0,11.0,539.0,Material_NA,3.19,24.84,No,Yes,No,Roadways,No,Wealthy,No,538.14,2017,8,2,16,2017,8,2,16,0 ,NM
1255,0.73,10.0,4.0,5982.5,Bronze,6.76,24.6,No,No,No,Roadways,No,Working Class,No,432.79,2018,2,6,11,2018,2,4,9,-2 ,NM
1256,0.15,8.0,4.0,58.0,Wood,4.9,13.4,Yes,No,No,Waterways,No,Working Class,No,107.07,2019,6,5,15,2019,6,6,16,1 ,
1257,0.92,17.0,8.0,431.0,Aluminium,3.2,21.62,Yes,Yes,No,Airways,No,Working Class,No,588.37,2016,5,4,20,2016,5,0,23,3 ,CA
1258,0.76,32.0,16.0,728601.0,Marble,2363.91,25.52,No,No,Yes,Roadways,No,Working Class,No,9922.05,2016,2,2,24,2016,2,3,25,1 ,VT
1259,0.4,21.0,10.0,256408.0,Marble,335.81,70.22,Yes,No,No,Waterways,No,Working Class,No,1396.78,2019,7,1,23,2019,7,1,23,0 ,IL
1260,0.1,37.0,25.0,145950.0,Brass,65.88,80.94,No,No,Yes,Roadways,No,Working Class,No,890.67,2016,1,2,6,2016,1,2,6,0 ,SD
1261,0.26,37.0,6.0,22017.0,Brass,57.13,69.38,No,Yes,No,Airways,No,Wealthy,No,849.53,2016,12,4,9,2016,12,4,9,0 ,NJ
1262,0.42,9.0,4.0,3867.0,Material_NA,9.47,22.71,No,Yes,Yes,Roadways,No,Working Class,Yes,448.45,2019,2,5,23,2019,2,4,22,-1 ,
1263,0.05,9.0,4.0,1105.0,Brass,5.62,13.14,No,No,No,Roadways,No,Working Class,No,129.26,2018,2,0,26,2018,2,1,27,1 ,CA
1264,0.57,15.0,7.0,26777.0,Marble,114.11,27.87,Yes,Yes,Yes,Airways,No,Wealthy,No,1012.61,2019,7,4,19,2019,7,2,17,-2 ,AR
1265,0.48,21.0,11.0,3153.0,Clay,14.3,16.87,No,No,No,Roadways,Yes,Working Class,No,293.31,2017,8,4,18,2017,8,0,14,-4 ,WV
1266,0.45,46.0,8.0,1374.0,Clay,16.37,86.75,Yes,No,Yes,Airways,Yes,Working Class,No,1157.12,2018,12,3,6,2018,12,0,3,-3 ,
1267,0.2,17.0,13.0,1795.0,Clay,6.22,22.07,Yes,Yes,No,Airways,Yes,Working Class,Yes,284.97,2015,10,3,1,2015,9,0,28,-3 ,CA
