"","X","Artist.Reputation","Height","Width","Weight","Material","Price.Of.Sculpture","Base.Shipping.Price","International","Express.Shipment","Installation.Included","Transport","Fragile","Customer.Information","Remote.Location","Cost","scheduled_year","scheduled_month","scheduled_day","scheduled_dateofmonth","delivery_year","delivery_month","delivery_day","delivery_dateofmonth","delta","state","Cost_Numeric"
"727",777,0.12,9,5,11009,"Material_NA",9.79,27.62,"No","No","No","Roadways","No","Working Class","Yes","Low",2018,8,1,14,2018,8,5,18,4,"GA",252.69
"728",4816,0.59,8,5,2930,"Marble",6.75,10.19,"No","No","No","Airways","No","Working Class","No","Low",2016,12,1,13,2016,12,1,13,0,"HI",259.93
"729",3269,0.53,9,4,144,"Aluminium",5.42,19.82,"No","No","Yes","Waterways","No","Working Class","No","Low",2015,11,1,10,2015,11,0,9,-1,"WV",233.86
"730",5148,0.18,7,4,302,"Brass",4.34,17.4,"Yes","Yes","No","Roadways","No","Wealthy","No","Low",2017,12,2,20,2017,12,0,18,-2,"NY",203.45
"731",1835,0.47,32,9,458,"Wood",5.34,16.62,"No","No","No","Roadways","No","Working Class","Yes","Low",2018,3,2,14,2018,3,5,17,3,"",221.45
"732",3901,0.16,4,3,437,"Marble",5.38,22.96,"Yes","No","Yes","Waterways","No","Wealthy","No","Low",2017,7,1,18,2017,7,2,19,1,"MI",239.57
"733",4750,0.49,7,4,130,"Clay",6.28,24.65,"No","No","Yes","Roadways","Yes","Working Class","No","Low",2016,12,5,10,2016,12,3,8,-2,"ND",278.27
"734",5074,0.55,13,7,298,"Aluminium",3.62,20.44,"No","No","No","Roadways","No","Working Class","No","Low",2017,3,1,28,2017,3,6,26,-2,"NC",245.97
"735",4581,0.34,29,18,3955,"Aluminium",19.03,13,"No","No","Yes","Roadways","No","Working Class","Yes","Low",2018,2,0,12,2018,2,6,11,-1,"DE",251.02
"736",983,0.04,8,4,6102,"Stone",4.19,53.54,"No","Yes","Yes","Airways","No","Working Class","No","Low",2016,9,0,19,2016,9,2,21,2,"MN",321.19
"737",1963,0.55,18,10,646,"Aluminium",6.64,11.5,"No","No","No","Roadways","No","Working Class","No","Low",2015,10,3,1,2015,10,4,2,1,"SD",217.73
"738",3569,0.38,23,8,734,"Clay",6.18,19.38,"No","No","Yes","Roadways","Yes","Wealthy","No","Low",2017,3,5,4,2017,3,4,3,-1,"ME",304.44
"739",2327,0.72,17,13,460,"Material_NA",4.02,12.05,"No","No","No","Roadways","No","Working Class","No","Low",2018,8,1,21,2018,8,5,25,4,"NV",236.38
"740",3592,0.53,20,7,2242,"Material_NA",7.31,11.29,"No","No","Yes","Roadways","No","Working Class","No","Low",2015,7,1,14,2015,7,6,12,-2,"OK",313.67
"741",5266,0.08,8,5,3543,"Marble",8.46,19.09,"No","Yes","No","Airways","No","Wealthy","No","Low",2015,5,5,16,2015,5,5,16,0,"NY",227.89
"742",1237,0.18,64,19,1177,"Wood",6.09,22.09,"No","Yes","No","Airways","No","Wealthy","Yes","Low",2019,1,1,15,2019,1,4,11,-4,"WA",251.43
"743",1047,0.37,24,10,1231,"Aluminium",3.36,16.7,"No","No","Yes","Roadways","No","Working Class","Yes","Low",2016,11,3,17,2016,11,3,17,0,"OR",220.62
"744",5063,0.15,27,11,11292,"Bronze",22.52,26.71,"No","No","Yes","Roadways","No","Working Class","No","Low",2019,2,2,27,2019,2,5,23,-4,"RI",306.55
"745",1435,0.71,3,2,12,"Clay",5.1,23.47,"No","Yes","No","Roadways","Yes","Wealthy","No","Low",2015,5,4,15,2015,5,4,15,0,"NH",257.66
"746",6367,0.385,13,7,4621,"Brass",20.43,20.88,"No","No","Yes","Roadways","No","Working Class","Yes","Low",2019,4,1,23,2019,4,4,19,-4,"LA",267.67
"747",903,0.36,16,7,76,"Wood",5.28,22.12,"No","No","No","Roadways","No","Working Class","No","Low",2017,8,3,24,2017,8,0,21,-3,"NY",209.05
"748",703,0.28,5,5,1794,"Marble",4.12,15.71,"Yes","No","Yes","Airways","No","Working Class","No","Low",2017,9,1,26,2017,9,1,26,0,"",232.22
"749",2187,0.43,20,8,4876,"Brass",11.74,20.24,"Yes","No","No","Waterways","No","Working Class","No","Low",2019,6,2,12,2019,6,2,12,0,"CA",264.58
"750",3534,0.95,7,4,77,"Clay",3.8,16.71,"No","Yes","Yes","Airways","Yes","Working Class","Yes","Low",2015,8,2,19,2015,8,2,19,0,"DC",327.34
"751",4261,0.45,8,4,763,"Material_NA",3.85,16.24,"Yes","Yes","No","Airways","No","Wealthy","No","Low",2019,2,3,14,2019,2,6,10,-4,"WY",233.24
"752",3010,0.14,20,8,1728,"Bronze",4.49,21.49,"Yes","Yes","No","Airways","No","Working Class","No","Low",2016,3,0,21,2016,3,6,20,-1,"LA",203.36
"753",1410,0.58,8,5,195,"Aluminium",6.13,15.05,"Yes","No","No","Airways","No","Working Class","No","Low",2017,5,0,29,2017,5,1,30,1,"MN",240.88
"754",61,0.49,7,5,4736,"Stone",18.4,23.76,"No","Yes","No","Airways","No","Working Class","Yes","Low",2017,1,1,24,2017,1,5,28,4,"MA",323.55
"755",2832,0.5,27,7,1851,"Clay",3.75,23.98,"No","No","No","Airways","Yes","Wealthy","No","Low",2016,7,2,20,2016,7,5,23,3,"",345.19
"756",4798,0.18,20,20,3423,"Aluminium",15.71,17.95,"No","Yes","No","Roadways","No","Working Class","Yes","Low",2015,6,2,10,2015,6,1,9,-1,"CO",218.23
"757",0,0.26,17,6,4128,"Brass",13.91,16.27,"Yes","Yes","No","Airways","No","Working Class","No","Low",2015,6,6,7,2015,6,2,3,-4,"OH",283.29
"758",6328,0.41,31,8,404,"Wood",6,21.39,"No","No","Yes","Roadways","No","Working Class","No","Low",2015,9,5,12,2015,9,4,11,-1,"IL",286.06
"759",5913,0.02,3,2,66,"Stone",3.3,15.11,"No","Yes","No","Roadways","No","Wealthy","No","Low",2017,12,0,11,2017,12,3,7,-4,"GA",216.13
"760",908,0.26,21,10,6831,"Bronze",24.79,46.79,"No","No","No","Roadways","No","Working Class","No","Low",2019,3,1,12,2019,3,3,14,2,"WI",349.27
"761",3630,0.28,11,6,1057,"Brass",6.56,19.68,"No","Yes","Yes","Airways","No","Wealthy","No","Low",2016,3,5,12,2016,3,1,15,3,"NV",233.7
"762",2998,0.45,31,19,1374,"Clay",23.12,45.46,"Yes","No","No","Waterways","Yes","Working Class","No","Low",2015,8,2,5,2015,8,6,9,4,"MS",325.7
"763",6017,0.47,19,8,2051,"Clay",3.91,17.22,"Yes","No","No","Waterways","Yes","Working Class","No","Low",2015,6,3,25,2015,6,5,27,2,"",224.07
"764",997,0.44,37,21,979,"Wood",4.24,18.48,"Yes","Yes","No","Airways","No","Working Class","No","Low",2015,9,6,13,2015,9,3,10,-3,"CT",328.56
"765",5449,0.63,16,6,145,"Wood",3.89,20.89,"Yes","Yes","Yes","Airways","No","Working Class","No","Low",2019,4,3,25,2019,4,5,27,2,"SD",320.84
"766",593,0.28,22,8,719,"Aluminium",5.06,23.29,"Yes","No","Yes","Airways","No","Working Class","No","Low",2018,9,3,13,2018,9,2,12,-1,"",248.14
"767",5383,0.37,9,8,8066,"Brass",5.59,23.06,"No","No","No","Roadways","No","Working Class","No","Low",2019,2,6,3,2019,2,5,2,-1,"IN",221.32
"768",5358,0.15,13,8,2800,"Bronze",6.32,21.46,"Yes","No","No","Airways","No","Wealthy","Yes","Low",2018,8,2,29,2018,9,5,1,3,"NJ",213.76
"769",4062,0.42,4,4,1076,"Stone",3.25,11.36,"No","Yes","No","Airways","No","Working Class","No","Low",2016,1,0,18,2016,1,3,14,-4,"AR",231.98
"770",5189,0.45,9,8,2271,"Material_NA",14.09,12.16,"No","No","No","Airways","No","Wealthy","No","Low",2019,7,1,30,2019,7,4,26,-4,"AZ",323.87
"771",5345,0.45,13,8,664,"Aluminium",4.68,15.94,"No","No","Yes","Waterways","No","Working Class","No","Low",2019,5,4,3,2019,5,5,4,1,"PA",238.69
"772",900,0.65,19,7,227,"Wood",6.29,10.96,"No","Yes","No","Airways","No","Wealthy","No","Low",2017,2,0,20,2017,2,6,19,-1,"PA",316.56
"773",6412,0.33,4,4,64,"Clay",5.06,20.08,"No","Yes","No","Roadways","Yes","Wealthy","Yes","Low",2017,9,4,1,2017,8,0,28,-4,"OH",220.75
"774",5206,0.45,31,12,2238,"Aluminium",6.58,22.71,"Yes","Yes","Yes","Airways","No","Working Class","Yes","Low",2019,1,0,21,2019,1,0,21,0,"AZ",325.89
"775",3406,0.64,16,6,55,"Wood",4.68,12.73,"No","Yes","No","Roadways","No","Wealthy","No","Low",2016,1,6,17,2016,1,3,14,-3,"MT",247.02
"776",3625,0.65,12,8,1392,"Bronze",6.99,10.95,"No","No","Yes","Waterways","No","Working Class","No","Low",2018,8,4,24,2018,8,2,22,-2,"NY",327.47
"777",3816,0.91,7,4,45,"Wood",3.1,15.11,"No","No","Yes","Waterways","No","Wealthy","No","Low",2015,4,2,15,2015,4,3,16,1,"ND",262.72
"778",2388,0.39,12,6,3592,"Brass",19.14,21.06,"Yes","No","Yes","Airways","No","Working Class","No","Low",2018,1,4,5,2018,1,4,5,0,"TX",302.73
"779",1331,0.64,29,13,2994,"Aluminium",5.25,13.41,"No","No","No","Roadways","No","Working Class","No","Low",2017,3,2,29,2017,3,1,28,-1,"AZ",337.86
"780",652,0.29,20,9,1382,"Material_NA",4.98,15.04,"No","No","Yes","Roadways","Yes","Wealthy","No","Low",2019,2,2,13,2019,2,2,13,0,"AZ",224.14
"781",3746,0.45,24,6,155,"Wood",6.68,15.57,"Yes","No","Yes","Waterways","No","Wealthy","No","Low",2019,6,0,17,2019,6,5,15,-2,"ND",224.88
"782",3103,0.6,16,7,143,"Aluminium",4.38,20.7,"Yes","No","Yes","Airways","No","Working Class","No","Low",2019,6,0,24,2019,6,3,27,3,"AR",327.98
"783",203,0.36,9,8,5982.5,"Bronze",5.74,18.18,"No","Yes","Yes","Airways","No","Working Class","No","Low",2015,12,2,9,2015,12,2,9,0,"AR",206.32
"784",2237,0.17,9,4,2403,"Marble",7.81,19.93,"No","No","No","Roadways","No","Working Class","Yes","Low",2018,12,0,31,2018,12,0,31,0,"WY",218.59
"785",4477,0.21,16,6,4692,"Brass",12.86,22.15,"Yes","No","No","Waterways","No","Working Class","No","Low",2016,12,2,21,2016,12,2,21,0,"OH",206.01
"786",1132,0.6,14,8,291,"Aluminium",4.21,21.94,"Yes","No","Yes","Roadways","No","Working Class","Yes","Low",2018,4,2,4,2018,4,6,8,4,"",314.36
"787",4642,0.39,3,3,164,"Material_NA",4.56,22.96,"Yes","Yes","No","Airways","No","Wealthy","No","Low",2015,8,1,25,2015,8,4,21,-4,"",297.94
"788",3216,0.12,6,5,2932,"Marble",5.8,19.03,"No","No","No","Roadways","No","Working Class","No","Low",2017,11,2,8,2017,11,6,5,-3,"AR",206.12
"789",5353,0.47,50,15,1149,"Wood",5.14,12.16,"No","No","No","Roadways","No","Working Class","No","Low",2017,3,3,30,2017,4,5,1,2,"AZ",206.1
"790",2311,0.47,10,8,1027,"Brass",6.62,14.3,"No","No","No","Roadways","No","Wealthy","Yes","Low",2017,1,3,5,2017,1,2,4,-1,"ME",256.05
"791",3221,0.68,4,4,33,"Aluminium",5.32,14.91,"No","Yes","Yes","Airways","No","Wealthy","Yes","Low",2017,7,1,18,2017,7,4,14,-4,"MT",281.26
"792",3051,0.45,14,6,1736,"Material_NA",7.41,20.78,"Yes","No","No","Waterways","No","Wealthy","No","Low",2018,9,1,11,2018,9,2,12,1,"IA",219.5
"793",3958,0.46,12,7,880,"Clay",4.95,17.35,"Yes","Yes","No","Airways","Yes","Working Class","Yes","Low",2018,7,6,15,2018,7,2,18,3,"IL",255.48
"794",5361,0.05,24,7,5089,"Bronze",3,56.19,"No","No","No","Waterways","No","Working Class","No","Low",2018,3,1,20,2018,3,5,17,-3,"AR",287.76
"795",4544,0.51,13,8,1374,"Clay",3.14,16.97,"No","Yes","No","Roadways","Yes","Working Class","No","Low",2015,5,4,1,2015,5,4,1,0,"KY",237.9
"796",4408,0.42,22,10,1812,"Clay",10,19.57,"Yes","No","Yes","Roadways","Yes","Working Class","Yes","Low",2019,7,1,30,2019,7,5,27,-3,"NE",338.69
"797",4731,0.42,20,10,664,"Aluminium",6.57,10.58,"Yes","Yes","No","Roadways","No","Working Class","Yes","Low",2019,4,0,15,2019,4,4,12,-3,"CA",260.31
"798",3195,0.48,9,4,133,"Clay",5.01,21.34,"Yes","No","No","Waterways","Yes","Working Class","No","Low",2019,5,2,22,2019,5,2,22,0,"RI",229.53
"799",233,0.6,15,7,329,"Aluminium",5.1,15.44,"No","No","No","Roadways","No","Working Class","Yes","Low",2018,4,2,11,2018,4,3,12,1,"PA",248.06
"800",5759,0.47,5,8,45,"Clay",4.41,19.45,"Yes","Yes","No","Airways","Yes","Wealthy","No","Low",2017,7,4,14,2017,7,0,10,-4,"MD",244.17
"801",917,0.64,33,9,545,"Material_NA",3.66,15.74,"No","No","No","Roadways","No","Working Class","No","Low",2019,7,5,6,2019,7,5,6,0,"IL",296.38
"802",1579,0.58,6,4,42,"Wood",6.66,15.34,"No","No","Yes","Roadways","No","Working Class","No","Low",2016,5,1,24,2016,5,4,27,3,"UT",201.72
"803",4883,0.41,7,8,767,"Brass",6.83,22.62,"No","No","Yes","Roadways","No","Working Class","No","Low",2018,4,6,29,2018,5,3,3,4,"RI",225.51
"804",4907,0.15,7,5,4794,"Marble",18.86,20.36,"Yes","Yes","No","Airways","No","Working Class","No","Low",2019,7,3,11,2019,7,0,15,4,"CA",217.02
"805",742,0.34,15,8,3401,"Brass",17.3,23.24,"Yes","No","No","Roadways","No","Working Class","No","Low",2016,4,5,2,2016,4,2,6,4,"AK",261.41
"806",6049,0.44,15,8,5982.5,"Bronze",16.94,16.24,"No","No","No","Roadways","No","Working Class","No","Low",2019,8,3,22,2019,8,6,25,3,"UT",204.68
"807",2987,0.34,5,3,3232,"Material_NA",5.5,14.82,"No","No","No","Roadways","No","Working Class","Yes","Low",2016,8,4,5,2016,8,3,4,-1,"",225.98
"808",3175,0.68,25,9,880,"Aluminium",5.46,10.05,"Yes","No","Yes","Waterways","No","Working Class","No","Low",2019,8,5,10,2019,8,0,12,2,"IN",322.33
"809",139,0.84,4,4,43,"Material_NA",3.39,15.75,"No","No","Yes","Roadways","No","Working Class","No","Low",2015,6,3,25,2015,6,1,23,-2,"",214.77
"810",5275,0.85,5,5,86,"Bronze",5.73,20.56,"Yes","No","No","Waterways","No","Working Class","No","Low",2016,8,0,15,2016,8,4,19,4,"MN",322.99
"811",84,0.5,16,6,1171,"Brass",3.34,18.85,"No","No","No","Airways","No","Working Class","Yes","Low",2019,3,2,6,2019,3,5,9,3,"ID",236.89
"812",5570,0.3,31,17,2879,"Aluminium",7.78,15.71,"No","No","Yes","Roadways","No","Working Class","No","Low",2018,3,1,27,2018,3,6,25,-2,"",253.98
"813",818,0.6,23,12,497,"Wood",6.22,12.7,"Yes","Yes","No","Airways","No","Working Class","No","Low",2019,8,6,18,2019,8,6,18,0,"MN",332.82
"814",1126,0.54,18,7,123,"Wood",6.9,21.74,"Yes","Yes","Yes","Airways","No","Working Class","No","Low",2017,10,0,23,2017,10,2,25,2,"MD",345.57
"815",4493,0.5,13,6,683,"Clay",3.38,17.87,"No","Yes","Yes","Roadways","Yes","Working Class","No","Low",2016,4,0,11,2016,4,1,12,1,"NC",251.75
"816",3143,0.08,6,5,5222,"Stone",7.55,38.62,"No","Yes","No","Roadways","No","Working Class","No","Low",2019,7,1,30,2019,7,1,30,0,"IA",283.55
"817",3504,0.45,20,7,570,"Aluminium",4.06,24.53,"Yes","No","No","Waterways","No","Working Class","Yes","Low",2018,5,3,10,2018,5,5,12,2,"ND",212.33
"818",502,0.45,9,4,4222,"Material_NA",20.26,13,"No","No","No","Roadways","No","Working Class","No","Low",2017,1,4,13,2017,1,1,17,4,"CO",319.95
"819",2991,0.27,18,8,2867,"Clay",10.48,13.44,"No","No","Yes","Roadways","Yes","Working Class","Yes","Low",2017,8,2,23,2017,8,5,19,-4,"NC",255.77
"820",5731,0.41,22,12,251,"Wood",5.66,21.21,"No","No","No","Airways","No","Working Class","No","Low",2018,10,3,4,2018,10,4,5,1,"KY",237.06
"821",3806,0.58,5,5,265,"Bronze",5.06,16.39,"Yes","Yes","Yes","Airways","No","Working Class","No","Low",2015,3,3,12,2015,3,1,10,-2,"HI",277.58
"822",1355,0.49,12,8,3314,"Bronze",6.15,12.03,"Yes","No","No","Waterways","No","Working Class","No","Low",2017,3,4,24,2017,3,5,25,1,"KY",216.81
"823",5041,0.5,15,6,8066,"Brass",6.63,10.62,"No","Yes","Yes","Airways","No","Working Class","No","Low",2016,7,1,26,2016,7,1,26,0,"ID",299.77
"824",947,0.49,23,8,4487,"Material_NA",18.06,16.1,"No","No","No","Waterways","No","Wealthy","No","Low",2017,3,0,27,2017,3,3,23,-4,"WA",298.15
"825",1580,0.35,27,15,342,"Wood",5.43,18.98,"No","No","Yes","Roadways","No","Working Class","Yes","Low",2015,8,2,12,2015,8,3,13,1,"IA",234.87
"826",4098,0.05,28,13,4199,"Clay",5.79,17.42,"No","Yes","Yes","Roadways","Yes","Working Class","No","Low",2016,8,0,29,2016,8,1,30,1,"VA",210.15
"827",5831,0.21,22,8,2797,"Bronze",3.89,24.8,"No","No","Yes","Roadways","No","Working Class","No","Low",2015,10,2,21,2015,10,1,20,-1,"NC",236.08
"828",2149,0.19,31,18,988,"Wood",3.44,24.65,"No","No","No","Airways","No","Working Class","Yes","Low",2018,3,4,30,2018,3,0,26,-4,"",208.18
"829",5111,0.05,25,10,11529,"Brass",16.79,37.46,"No","No","No","Roadways","No","Working Class","No","Low",2015,3,4,13,2015,3,4,13,0,"DC",247.15
"830",1434,0.53,7,5,666,"Brass",6.49,15.69,"Yes","No","Yes","Roadways","No","Working Class","No","Low",2017,2,2,1,2017,1,6,29,-3,"MN",327.56
"831",5839,0.47,20,5,201,"Clay",4.69,23.18,"No","No","Yes","Roadways","Yes","Working Class","No","Low",2017,4,2,12,2017,4,6,16,4,"SD",211.89
"832",4182,0.58,7,4,89,"Aluminium",5.98,24.64,"No","Yes","No","Airways","No","Working Class","No","Low",2016,2,3,4,2016,2,4,5,1,"KY",248.54
"833",4297,0.24,12,7,859,"Clay",3.82,19.7,"Yes","No","No","Roadways","Yes","Working Class","Yes","Low",2018,11,0,12,2018,11,5,10,-2,"NY",225.56
"834",4424,0.32,11,8,2715,"Brass",9.48,13.42,"No","No","No","Roadways","No","Working Class","No","Low",2018,6,6,3,2018,6,6,3,0,"NV",223.06
"835",6242,0.64,13,7,212,"Aluminium",5.52,16.94,"No","No","Yes","Roadways","No","Working Class","No","Low",2016,4,5,30,2016,4,2,27,-3,"RI",315.16
"836",1426,0.23,4,4,1628,"Stone",6.95,15.32,"No","No","Yes","Airways","No","Working Class","No","Low",2018,10,2,17,2018,10,6,21,4,"AK",201.52
"837",1342,0.27,7,5,4182,"Marble",12.7,22.18,"Yes","No","No","Roadways","No","Working Class","No","Low",2015,1,5,24,2015,1,6,25,1,"",267.1
"838",2000,0.43,22,10,285,"Wood",6.05,12.42,"Yes","No","Yes","Waterways","No","Working Class","No","Low",2019,3,1,5,2019,3,0,4,-1,"AL",221.41
"839",6462,0.46,33,7,155,"Wood",4.18,21.86,"No","No","No","Roadways","No","Working Class","No","Low",2015,10,0,26,2015,10,6,25,-1,"WA",256.84
"840",2026,0.26,33,19,4112,"Aluminium",7.1,18.46,"No","No","Yes","Roadways","No","Working Class","No","Low",2016,10,2,26,2016,10,4,28,2,"NV",241.17
"841",5816,0.32,9,4,5982.5,"Bronze",3.9,20.15,"No","No","Yes","Roadways","No","Working Class","No","Low",2019,2,3,21,2019,2,6,17,-4,"NJ",208.92
"842",259,0.65,14,8,163,"Wood",3.14,17.36,"No","No","Yes","Roadways","No","Working Class","No","Low",2018,6,5,30,2018,7,6,1,1,"TX",265
"843",4464,0.65,12,6,553,"Bronze",5.35,13.75,"No","No","No","Roadways","No","Working Class","No","Low",2016,2,1,9,2016,2,4,5,-4,"",274.96
"844",5623,0.5,17,8,1054,"Aluminium",6.21,17.09,"Yes","Yes","No","Airways","No","Working Class","No","Low",2018,4,4,20,2018,4,6,22,2,"",294.92
"845",1719,0.47,20,7,649,"Aluminium",6.69,13.2,"Yes","No","No","Roadways","No","Working Class","No","Low",2017,3,5,4,2017,3,2,8,4,"LA",216.36
"846",3033,0.55,3,3,70,"Brass",4.2,11.14,"No","Yes","Yes","Airways","No","Wealthy","No","Low",2015,12,2,23,2015,12,6,20,-3,"WY",201.16
"847",3705,0.45,13,8,251,"Wood",4.89,12.46,"No","No","Yes","Roadways","No","Working Class","No","Low",2015,8,5,8,2015,8,3,6,-2,"IL",271.86
"848",892,0.29,22,8,3232,"Material_NA",15.62,11.31,"No","No","Yes","Roadways","No","Wealthy","No","Low",2015,5,6,10,2015,5,5,9,-1,"WA",223.86
"849",4924,0.89,18,6,211,"Wood",3.4,11.04,"Yes","No","Yes","Waterways","No","Working Class","No","Low",2015,1,5,10,2015,1,4,9,-1,"ME",347.9
"850",2244,0.3,13,7,106,"Wood",4.59,20.18,"No","No","Yes","Roadways","No","Wealthy","No","Low",2016,8,6,7,2016,8,2,3,-4,"TX",210.92
"851",1485,0.46,30,7,3411,"Clay",3.04,18.65,"No","No","Yes","Roadways","Yes","Working Class","No","Low",2015,12,4,18,2015,12,6,20,2,"TX",310.57
"852",5211,0.41,21,11,258,"Wood",5.05,14.13,"No","No","Yes","Airways","No","Wealthy","No","Low",2017,10,6,8,2017,10,2,4,-4,"AR",243.3
"853",6182,0.82,4,4,10,"Wood",5.08,18.37,"No","Yes","Yes","Roadways","No","Wealthy","No","Low",2017,3,1,7,2017,3,6,5,-2,"AK",317.88
"854",3930,0.53,20,6,2898,"Material_NA",3.92,19.48,"Yes","No","No","Waterways","No","Working Class","No","Low",2019,4,4,5,2019,4,1,9,4,"LA",229.03
"855",4039,0.17,4,4,578,"Stone",4.31,10.74,"Yes","No","Yes","Airways","No","Wealthy","No","Low",2015,3,2,11,2015,3,5,14,3,"SC",213.82
"856",2653,0.55,3,3,157,"Stone",6.58,19.46,"No","No","No","Roadways","No","Working Class","No","Low",2015,12,0,14,2015,12,3,17,3,"GA",252.1
"857",2190,0.75,5,4,68,"Aluminium",4.01,15.24,"No","No","Yes","Roadways","No","Working Class","No","Low",2019,5,5,11,2019,5,2,8,-3,"UT",227.98
"858",991,0.45,20,10,5248,"Bronze",11.6,56.31,"No","No","No","Roadways","No","Working Class","Yes","Low",2015,9,6,20,2015,9,3,24,4,"SC",318.97
"859",5618,0.32,16,8,3384,"Material_NA",15.63,14.84,"No","Yes","Yes","Roadways","No","Working Class","No","Low",2018,5,5,19,2018,5,1,22,3,"MN",222.6
"860",2569,0.43,28,9,973,"Aluminium",6.89,12.97,"Yes","No","Yes","Waterways","No","Working Class","No","Low",2015,3,4,27,2015,3,5,28,1,"OH",236.08
"861",168,0.78,16,7,267,"Aluminium",3.19,11.17,"Yes","No","Yes","Waterways","No","Working Class","No","Low",2018,12,6,23,2018,12,3,20,-3,"",302.53
"862",2800,0.55,4,4,671,"Marble",3.67,18.17,"Yes","No","No","Roadways","No","Working Class","No","Low",2016,8,1,9,2016,8,2,10,1,"CO",260.69
"863",4262,0.18,10,5,4984,"Marble",12.18,20.29,"No","No","Yes","Roadways","No","Working Class","No","Low",2016,12,6,18,2016,12,3,22,4,"CA",208.51
"864",1439,0.38,7,4,348,"Bronze",3.8,24.23,"Yes","Yes","No","Airways","No","Wealthy","No","Low",2017,7,6,2,2017,7,5,1,-1,"SD",257.84
"865",3042,0.49,15,8,541,"Clay",3.91,22.95,"No","No","No","Roadways","Yes","Working Class","Yes","Low",2015,7,6,5,2015,7,0,6,1,"KS",269.13
"866",2924,0.55,34,13,674,"Wood",6.01,17.84,"Yes","No","No","Roadways","No","Working Class","No","Low",2017,1,2,18,2017,1,6,22,4,"",326.45
"867",5802,0.44,36,10,2820,"Aluminium",6.68,21.13,"No","No","No","Waterways","No","Working Class","No","Low",2017,8,5,26,2017,8,5,26,0,"CA",284.47
"868",3423,0.5,39,6,1465,"Aluminium",5.92,18.92,"Yes","No","Yes","Waterways","No","Working Class","No","Low",2015,1,4,9,2015,1,4,9,0,"IA",337.92
"869",1876,0.24,7,4,3816,"Stone",11.32,19.28,"No","Yes","No","Airways","No","Working Class","No","Low",2019,3,4,29,2019,3,2,27,-2,"DE",260.38
"870",884,0.6,10,4,227,"Clay",4.56,24.86,"Yes","No","No","Airways","Yes","Wealthy","No","Low",2017,7,4,21,2017,7,5,22,1,"OK",327.16
"871",1944,0.39,34,13,1105,"Wood",5.96,18.12,"No","No","No","Roadways","No","Wealthy","No","Low",2015,7,5,4,2015,7,5,4,0,"WA",240.23
"872",124,0.65,4,4,78,"Bronze",4.63,13.77,"No","Yes","Yes","Roadways","No","Wealthy","Yes","Low",2018,4,0,16,2018,4,0,16,0,"TX",231.13
"873",5146,0.84,3,3,11,"Aluminium",4.62,22.87,"No","No","No","Roadways","No","Wealthy","No","Low",2019,6,1,11,2019,6,0,10,-1,"SC",263.5
"874",5225,0.71,8,4,155,"Clay",3.82,16.99,"No","No","Yes","Roadways","Yes","Working Class","No","Low",2015,9,3,17,2015,9,1,15,-2,"PA",251.96
"875",3127,0.39,18,10,479,"Aluminium",4.05,24.97,"Yes","No","No","Waterways","No","Working Class","No","Low",2019,5,2,22,2019,5,0,20,-2,"NM",258.24
"876",4296,0.45,10,4,809,"Brass",3.39,15.2,"No","No","No","Roadways","No","Working Class","No","Low",2018,7,1,10,2018,7,2,11,1,"NH",213.11
"877",16,0.27,10,4,11909,"Stone",29.47,28.18,"Yes","No","No","Waterways","No","Working Class","No","Low",2019,4,0,29,2019,4,4,26,-3,"WY",329.2
"878",924,0.32,9,8,8066,"Brass",5.62,23.78,"No","No","No","Waterways","No","Working Class","No","Low",2015,10,2,28,2015,10,2,28,0,"RI",210.81
"879",641,0.6,13,7,91,"Wood",6.67,19.7,"No","Yes","No","Airways","No","Working Class","No","Low",2015,8,6,9,2015,8,2,12,3,"HI",278.06
"880",1968,0.95,10,4,105,"Clay",4.48,12.45,"No","No","No","Airways","Yes","Working Class","No","Low",2019,7,3,4,2019,7,6,7,3,"AR",272.77
"881",4404,0.42,5,4,97,"Clay",5.01,24,"No","Yes","Yes","Airways","Yes","Wealthy","No","Low",2019,7,2,24,2019,7,0,22,-2,"ND",253.21
"882",270,0.28,7,4,113,"Material_NA",5.2,24.77,"Yes","No","Yes","Roadways","Yes","Working Class","No","Low",2017,10,0,9,2017,10,0,9,0,"NC",205.17
"883",3694,0.01,23,9,7768,"Brass",16.46,33.19,"No","No","No","Airways","No","Wealthy","No","Low",2019,6,4,14,2019,6,0,17,3,"GA",229.63
"884",25,0.45,10,4,174,"Material_NA",6.63,19.61,"Yes","No","No","Waterways","No","Working Class","No","Low",2016,6,4,10,2016,6,0,13,3,"",279.16
"885",3211,0.45,10,5,598,"Bronze",4.71,22.57,"Yes","No","No","Waterways","No","Working Class","No","Low",2018,11,3,15,2018,11,0,19,4,"IA",284.08
"886",6203,0.29,20,8,2137,"Clay",9.62,21.95,"No","Yes","No","Roadways","Yes","Working Class","No","Low",2017,3,4,3,2017,2,1,28,-3,"NV",308.46
"887",1912,0.53,9,4,4036,"Material_NA",10.56,14.63,"No","Yes","No","Airways","No","Working Class","No","Low",2017,4,3,27,2017,4,3,27,0,"NC",267.56
"888",4415,0.41,8,5,3342,"Marble",6.03,12.77,"No","Yes","No","Roadways","No","Working Class","No","Low",2016,9,3,8,2016,9,3,8,0,"AK",246.04
